ch_name,x,y
Fp1,0.31910185838825006,0.9022613311432645
Fp2,0.6045152324170513,0.9022613311432645
F3,0.2680581812428324,0.7023170670657604
F4,0.6555589095624691,0.7023170670657602
C3,0.2309042758044353,0.46305530857543686
C4,0.6927128150008661,0.46305530857543686
P3,0.2680581812428324,0.22379355008511334
P4,0.6555589095624691,0.22379355008511345
O1,0.31910185838825006,0.02384928600760925
O2,0.6045152324170513,0.02384928600760925
F7,0.08819758568692476,0.7344995605168709
F8,0.8354195051183767,0.7344995605168708
T7,-6.245004513516506e-17,0.463055308575437
T8,0.9236170908053015,0.46305530857543686
P7,0.08819758568692476,0.19161105663400277
P8,0.8354195051183767,0.19161105663400288
Fz,0.4618085454026507,0.6939595781736523
Cz,0.4618085454026507,0.46305530857543686
Pz,0.4618085454026507,0.23215103897722142
Oz,0.4618085454026507,0.001246763172786082
FC1,0.3513110527627924,0.5774788089751468
FC2,0.572306038042509,0.5774788089751468
CP1,0.3513110527627924,0.3486318081757269
CP2,0.572306038042509,0.3486318081757269
FC5,0.1312713715908665,0.5899366364417191
FC6,0.7923457192144351,0.589936636441719
CP5,0.1312713715908665,0.3361739807091546
CP6,0.7923457192144351,0.33617398070915466
F1,0.3676215477743994,0.6961763076540232
F2,0.5559955430309019,0.6961763076540232
C1,0.34379080994788175,0.46305530857543686
C2,0.5798262808574197,0.46305530857543686
AF3,0.2752341925664374,0.799644340825139
AF4,0.648382898238864,0.799644340825139
FC3,0.2419036983965347,0.5849505616852874
FC4,0.6817133924087667,0.5849505616852874
CP3,0.2419036983965347,0.34116005546558636
CP4,0.6817133924087667,0.3411600554655864
PO3,0.2752341925664374,0.12646627632573468
PO4,0.648382898238864,0.12646627632573468
F5,0.17523834357633628,0.7121670010919748
F6,0.7483787472289652,0.7121670010919747
C5,0.11288654712563928,0.46305530857543686
C6,0.8107305436796621,0.46305530857543686
P5,0.17523834357633628,0.21394361605889886
P6,0.7483787472289652,0.21394361605889897
AF7,0.19036429346121675,0.8366662682911629
AF8,0.7332527973440847,0.8366662682911629
FT7,0.022602522834823106,0.6057619955898376
FT8,0.9010145679704783,0.6057619955898375
TP7,0.022602522834823106,0.32034862156103616
TP8,0.9010145679704783,0.3203486215610363
PO7,0.19036429346121675,0.08944434885971084
PO8,0.7332527973440847,0.08944434885971084
Fpz,0.4618085454026507,0.9248638539780877
AFz,0.4618085454026507,0.7760588924504593
FCz,0.4618085454026507,0.57594184705561
CPz,0.4618085454026507,0.3501687700952637
POz,0.4618085454026507,0.11926448428507716
